"jc2660" "jc2661" "jc2662" "jc2663"
1371 1143 1018 971
3016 2313 2010 1671
78 25 32 37
1244 768 781 894
1666 1247 1212 1299
5743 4380 3916 4276
2122 1325 1211 1294
786 602 536 628
36 18 25 30
396 290 297 375
1118 784 739 832
710 521 471 582
1969 1797 1412 1732
2408 2199 1775 2193
397 263 239 302
2575 1924 1757 1509
2795 1887 1720 1685
1523 1070 1105 1274
195 152 183 206
100 68 86 101
336 258 241 232
72 56 54 45
727 668 617 668
66 51 62 39
67 49 56 57
48 25 33 29
682 672 549 729
243 183 202 262
45 33 29 18
2037 1624 1459 1122
4072 3248 2833 3069
1148 912 969 1187
3388 2924 2620 2945
1021 663 526 619
318 248 212 288
3256 2621 1928 2211
2073 1791 1498 1701
1700 1438 1393 1483
3560 2697 2402 2465
160 127 159 180
2450 1916 1585 1886
5206 4393 3707 3426
2567 2343 1895 2222
117 79 91 88
2142 1812 1451 1807
340 286 226 320
3334 2846 2491 2146
1335 1118 1045 1094
217 159 142 158
1623 1335 1148 1267
2749 2268 2012 2361
795 704 605 833
987 767 709 858
624 387 378 293
2218 1861 1520 1847
781 551 506 524
2959 2573 2321 2253
3201 2469 2414 2748
320 270 306 370
2332 1966 1648 1642
1431 1308 1007 1175
2063 1551 1539 1713
34 22 24 18
4346 3437 2953 3106
22 9 20 21
2548 2041 1789 2022
1705 1519 1397 1559
771 464 476 614
114 66 85 94
418 315 310 388
1287 1143 973 903
1557 1278 1121 1160
2592 1872 1727 1976
127 90 66 124
3506 2833 2366 2906
136 112 124 110
1900 1667 1274 1612
335 283 296 274
79 49 59 68
926 837 740 654
3543 2984 2506 2823
138 44 38 54
1805 1479 1248 1296
6647 5578 4519 5598
1466 873 801 825
569 405 396 451
144 101 149 160
893 669 684 475
64 43 29 22
2108 1915 1557 1858
75 43 34 34
846 666 642 603
51 47 47 38
76 44 40 44
30 17 21 32
631 460 440 599
627 495 528 516
698 514 519 454
453 355 386 461
39 14 18 16
2127 1774 1520 1535
2627 2096 1822 1916
100 63 77 94
4632 4002 3369 3474
2127 1832 1566 1711
1912 1490 1402 1239
720 591 520 571
1016 885 858 1010
1279 1110 1003 1221
1946 1750 1418 1033
1386 1309 1083 1326
238 204 203 249
65 50 63 37
28 29 28 22
62 38 35 48
1053 884 851 1041
299 244 199 256
2133 1811 1690 1952
3068 2766 2189 2654
533 388 367 432
2428 1992 1891 2086
2462 2344 2008 2604
1410 1144 1040 1220
259 188 209 256
2047 1618 1557 1541
76 37 43 53
22 9 14 20
2671 1955 1772 1745
1832 1462 1374 1284
2563 2097 1830 2019
79 43 60 42
75 62 80 78
4818 3894 3056 3301
2970 2743 2237 2775
2756 2490 2352 2480
431 282 338 356
1797 1430 1358 1290
35 36 19 19
180 118 113 132
32 36 31 26
39 34 38 19
2353 1980 1604 1270
1459 1156 860 912
3177 2503 2167 2428
1257 1038 902 888
49 41 31 39
901 980 779 1019
1547 1407 1200 916
53 25 27 32
618 508 562 662
32 19 12 27
45 40 24 35
687 487 549 411
1536 1442 1173 1024
13 15 18 21
216 158 184 244
1264 985 825 818
1709 1279 986 645
161 112 116 87
236 188 223 252
1290 1071 934 721
173 196 169 242
2701 2097 1775 1744
2122 1886 1524 1736
1317 1019 921 1093
3821 3063 2496 2129
119 129 108 35
24 9 27 25
124 89 75 108
17 6 3 10
53 35 37 24
468 331 434 452
52 23 30 36
787 645 553 648
913 861 813 964
2216 1907 1602 2213
58 49 45 39
1729 1547 1343 1690
33 17 22 5
30 30 34 7
1419 1062 976 839
2659 2109 1872 1684
831 607 539 477
222 157 146 157
1754 1467 1329 1330
17 15 20 11
982 881 809 937
670 660 657 773
63 29 43 14
4359 3933 3103 3488
92 47 61 36
2167 1963 1643 1786
2388 2050 1668 1806
21 25 12 17
2066 1798 1403 1798
1249 1083 1033 1157
2093 2022 1744 1931
305 224 210 223
2296 1825 1582 1477
172 124 132 102
1570 1382 1192 1246
92 48 50 30
2936 2320 1953 2210
4963 4361 3866 3759
52 30 29 50
2476 2194 1983 2165
541 400 369 366
86 71 79 82
3423 2783 2583 2420
2059 1768 1546 1237
2482 1900 1616 1644
31 19 12 14
34 17 15 15
53 29 45 31
2207 1874 1520 1798
1321 1265 1305 1513
106 82 82 78
3503 2988 2513 2935
1086 738 677 773
1544 1356 1066 1080
207 180 212 189
1020 1050 942 1126
2070 1649 1374 1479
121 130 121 100
27 22 31 21
367 383 332 439
1196 889 739 749
1235 1256 1011 1301
694 585 529 631
1340 950 901 913
2102 1637 1543 1574
480 310 316 285
1500 1314 1319 1595
232 175 174 142
2478 2044 1852 2010
2947 2401 1987 1754
23 13 22 6
2333 2064 1767 2010
3240 2670 2213 2289
3813 2859 2497 2559
3955 3322 2960 2972
4631 4089 3522 3941
34 18 27 13
1794 1459 1261 1446
3037 2374 1967 2229
2611 2288 1900 1823
2030 1639 1225 1370
46 42 25 17
1450 1247 1092 1287
1002 893 759 930
2501 2113 1782 2086
1078 969 915 1027
1087 877 872 978
38 21 25 27
169 142 137 173
803 700 597 490
1816 1482 1535 1650
1283 992 918 1084
41 27 28 10
57 31 37 36
2812 2400 1968 2152
71 52 71 56
647 552 561 548
55 42 41 35
1849 1541 1344 1576
63 50 52 72
67 55 61 89
309 220 221 117
1615 1369 1141 1239
2156 1581 1306 1370
2578 2104 1599 1541
2662 2096 1851 1779
1458 1284 1106 1227
2631 1991 1678 1893
3700 3329 2934 3277
47 43 35 47
3791 2882 2520 2539
1573 1021 871 781
30 27 27 26
1719 1471 1302 1139
37 28 17 24
141 73 70 94
133 142 142 92
130 105 76 83
34 17 9 7
4008 3172 2751 2950
98 52 39 62
3620 2845 2344 2283
3165 2363 2081 2430
11261 8734 7356 7208
4563 3724 2964 3364
78 38 53 34
4226 3684 3281 3326
3076 2206 2050 2096
6344 5934 5270 6364
340 253 210 169
6934 4682 4395 3961
8052 6342 5483 6202
2829 2489 1932 2263
6718 5055 4254 4435
279 103 112 98
14865 9814 7623 9481
4043 2904 2675 3116
4154 2842 2563 2749
6017 4789 4082 3532
302 256 280 332
3284 2454 2233 2802
3766 2900 2816 3277
2402 1842 1785 2012
108 45 50 59
8400 6381 5907 5650
4747 3798 3519 4512
41 27 24 19
1556 1227 1091 1385
2232 1604 1433 1795
812 507 596 579
4734 3729 3170 3613
5620 5067 4494 5115
1641 1406 1267 1466
9283 7167 6061 6952
5388 4218 3545 3481
2385 1901 1813 1411
52 60 45 53
6403 5096 4423 4717
3049 2275 2026 2424
1022 761 747 865
53 36 23 29
8846 7702 6631 6946
263 132 125 133
4251 3270 2661 2826
42 12 12 26
4687 3317 3277 3756
5882 4771 4152 4040
75 21 31 48
573 319 394 335
6692 5638 5058 5780
130 59 65 54
465 337 428 412
856 710 773 1034
11879 9559 7773 7836
7262 6205 5433 6366
7398 5603 4846 5884
2524 2177 1988 2523
69 36 41 36
100 104 117 132
115 63 102 61
4223 3373 3065 4047
5526 4438 3887 4349
10959 9446 8169 8243
287 154 179 180
152 134 115 133
8551 7647 6521 7680
383 230 260 288
410 283 313 389
422 257 261 189
9978 8895 7544 7870
863 592 626 666
157 105 89 112
2788 2098 1943 1672
4138 3676 3293 4133
328 242 229 207
3222 4220 3081 4160
171 131 119 152
698 527 495 474
810 673 522 677
281 189 199 186
30 21 26 36
60 52 60 65
1633 1290 1198 1269
109 65 57 57
589 385 332 265
13614 10146 9213 9398
63 30 42 26
6720 5130 4738 3561
81 27 42 24
4037 2911 2800 2690
95 54 78 68
423 212 212 190
1340 1101 887 626
8374 6374 5759 6630
8472 6333 5698 6177
2419 1983 1902 2284
266 157 184 164
287 114 85 106
2794 2373 2144 2403
301 244 231 303
1421 995 1054 1000
13044 11573 9869 10221
124 74 84 78
1546 1112 1103 1059
453 295 331 319
1246 966 880 942
106 73 78 87
3957 2994 2894 3168
5754 4338 4142 5146
101 78 78 87
759 511 539 413
209 164 147 202
456 278 256 200
1788 1624 1294 1592
40 25 25 18
438 267 240 238
90 67 76 86
145 102 90 108
313 208 244 163
72 47 43 47
255 179 175 225
232 174 150 133
436 304 286 232
3995 2773 2240 2083
1625 1140 938 1326
6656 4934 4446 4393
3756 2864 2494 2717
6626 4727 4132 4672
1366 981 1022 894
1560 945 942 932
426 181 225 163
724 607 561 556
2691 1718 1940 1936
1378 879 924 1057
1862 991 990 1071
15618 12012 9644 10255
4316 3359 3185 3208
1030 448 494 541
338 135 134 112
5223 3407 3174 3728
6069 4659 4126 5073
2255 1431 1193 1439
5558 3686 3299 3667
1363 979 935 1129
313 229 193 177
793 494 505 518
6391 4624 4510 4557
2198 1102 1347 1050
6809 5006 4603 4106
5377 4399 3969 3285
412 290 312 273
6019 4941 4216 5427
2907 2057 1720 1961
1259 860 707 758
5382 4223 3785 2985
752 461 464 529
3890 2959 2900 3489
5226 4897 4319 5340
185 76 103 87
1327 900 1056 1200
43 18 38 29
244 193 194 192
776 542 420 533
97 31 32 44
5365 3562 3058 3984
2751 1666 1429 1850
6098 3787 3237 3179
2219 1666 1437 1562
6666 5387 4743 4468
427 270 296 338
4445 3307 3049 3746
3943 3058 2683 3380
958 570 552 648
7033 5004 4602 4651
6967 5701 5021 5758
17866 12437 11262 12160
8534 6447 5609 6503
2501 1529 1323 1288
5024 3765 3355 2772
6033 4595 3927 4528
8089 6214 5267 4914
4586 3743 3265 3636
2923 2255 2187 2505
117 59 60 50
1451 989 973 1174
238 190 219 236
5611 4447 3860 3990
3811 2685 2537 2358
3725 3064 2869 3053
159 111 115 131
1616 1024 860 876
898 557 578 556
4490 3134 2723 2931
6291 4123 3787 3401
3709 2814 2731 2634
11917 8526 6796 8349
187 59 49 42
4045 2745 2650 3506
2550 1826 1655 1920
4157 3220 2832 3355
6486 4230 3944 4768
6765 4539 4265 4981
145 54 66 66
3861 2904 2586 3205
2477 1451 1458 1528
4975 4260 3708 4456
2857 1822 1629 1459
3286 2141 2131 1930
1974 1493 1341 1706
3370 2654 2582 2868
3758 2895 2586 2452
2721 2170 1965 2351
7140 5652 4849 5489
8457 5965 5616 6639
8168 6573 5528 5904
1090 842 764 822
80 42 31 16
126 74 77 71
8905 7058 5865 6550
1034 855 827 855
24 6 17 3
3223 2456 2246 2229
1690 1189 1053 918
5867 4081 3734 3403
4219 3382 2885 3691
85 32 37 43
2571 1933 1680 1902
7680 5877 5570 6239
3349 2097 1985 2084
2491 1838 1731 1960
68 23 37 8
366 127 151 117
10064 7993 6290 7863
206 84 102 70
64 21 46 14
155 113 83 123
5070 4279 3741 4123
2197 1637 1463 1394
6591 4897 4208 4414
1214 1039 1049 1161
7399 5910 5562 4682
60 39 24 25
1520 953 891 1016
347 213 296 308
782 475 414 516
5681 4516 3951 5092
303 115 108 122
2595 2215 2089 2231
2159 1454 1191 1428
4034 3053 3008 2808
76 57 29 34
33 19 9 20
54 16 19 19
300 158 160 189
192 107 121 103
662 218 204 211
3262 2330 1893 2255
9178 6442 5939 6406
1915 1156 966 1280
12010 8421 6778 7707
7412 5667 5007 5390
133 70 91 128
161 84 105 110
42 20 28 30
55 31 30 40
3832 2668 2391 2187
99 58 59 67
6272 5655 5012 6006
75 56 57 77
51 29 38 20
165 153 124 169
215 169 155 117
128 88 106 99
30 13 10 26
35 59 33 29
38 27 32 26
1407 1190 925 1167
582 531 550 719
125 52 55 53
4623 3862 3193 3936
1485 1176 1158 1324
4440 3763 3267 3445
624 469 434 546
2021 1744 1619 1730
3826 3202 2586 2761
1974 1572 1406 1454
6219 5250 4496 4421
324 256 256 253
20 21 7 11
48 16 22 18
4052 2984 2614 2942
2979 2318 1898 2290
3836 2775 2362 2466
1181 814 721 978
2190 1767 1578 2088
5245 4239 3871 4238
5180 3878 3495 3520
2572 2173 1808 1587
2620 2111 1977 2169
1886 1545 1495 1785
2256 1733 1478 1809
1668 1100 892 947
1634 1184 1132 1152
233 166 213 240
3877 3181 2838 3001
1385 1143 980 1247
2516 1643 1623 1502
246 177 189 182
587 463 466 301
1095 846 804 965
220 114 142 131
49 38 24 17
1235 946 929 1061
1662 1280 1112 1097
815 765 725 434
136 119 108 67
1072 873 761 687
3025 2417 2037 2537
2662 2378 1930 2183
2975 2408 2111 1912
685 606 625 727
4976 4281 3322 3770
3320 2682 2387 2696
2906 2577 2129 2689
610 527 449 419
301 203 251 286
2473 2495 2058 1277
281 178 178 173
261 175 213 166
55 25 14 42
1522 1249 1090 665
91 51 31 31
64 15 21 24
62 46 43 49
885 589 606 619
23 17 24 14
2479 1799 1512 1738
2693 2065 1690 1841
3842 3084 2792 2417
43 27 33 27
4621 3667 3123 3401
970 977 913 870
158 111 130 115
3737 2670 2333 2387
3141 2662 2332 2647
638 538 487 500
345 218 252 202
43 18 43 26
27 13 13 13
209 166 146 186
5349 4328 3667 3815
1131 1065 1036 1293
1842 1604 1373 1605
3710 3153 3028 2426
3838 3304 2944 3315
87 50 62 56
5800 4504 3663 4042
842 656 663 669
2946 2400 1935 1942
3068 2832 2457 2914
263 167 196 80
91 52 54 54
6804 6128 4522 5127
5238 4496 3841 3267
5648 4599 3622 3724
186 148 128 107
4825 3859 3313 2853
6509 5214 4414 4481
2254 1874 1731 1810
384 317 332 369
116 69 78 81
4603 3444 3318 2790
913 613 602 670
74 60 43 15
174 134 139 87
7919 6625 5557 5623
85 65 53 68
6617 5247 4413 4897
5537 4333 3928 3700
74 42 41 66
295 225 219 208
89 44 56 53
114 60 60 57
2849 2449 2176 2385
209 90 85 73
8872 7542 5890 5601
50 24 26 28
69 55 48 21
6238 5292 4397 4860
3820 3242 2818 2576
9565 7775 7254 5953
10387 7617 6600 4798
6902 5707 4783 5177
5564 5023 4525 5099
447 322 287 280
69 44 41 60
371 284 286 199
71 93 72 60
48 33 27 23
145 89 120 47
6718 5570 4512 4717
4638 3798 3317 2943
30 18 31 15
3308 2275 2056 2037
9298 7537 6047 6207
57 25 36 19
361 329 372 442
97 71 67 81
311 160 159 131
170 94 73 116
760 601 563 605
6609 6209 5405 6190
75 43 45 21
2662 1919 1674 2016
4487 3678 3245 3429
5379 4625 4091 4374
5638 4509 4226 5030
4210 3665 3314 3707
1973 1653 1589 1648
3502 2668 2654 2617
576 406 437 416
1951 1409 1315 1550
182 149 168 203
1037 766 673 802
2482 1911 1774 1418
8422 6764 5510 6097
7293 5994 4936 5186
5212 4196 3728 4551
6584 5070 5082 6074
154 117 88 84
5875 4636 3987 4297
3773 3709 3060 3574
138 133 124 189
1085 746 879 1089
7916 6967 6162 6971
80 44 31 20
93 56 72 74
149 66 96 92
24 22 20 12
210 125 143 145
1255 982 926 873
5119 3695 3163 3802
1782 1480 1444 1185
1873 759 903 1139
320 201 223 229
1378 983 989 1190
7001 5334 4499 4397
5329 4281 3852 4250
110 44 72 60
992 727 730 800
102 47 56 57
92 32 46 34
304 219 207 271
9938 8176 6681 8168
5386 4404 4048 4263
437 314 349 321
1431 1212 1011 1189
3881 3297 2792 2601
6387 5655 5062 6117
69 33 45 28
60 36 47 51
6928 6195 5648 6203
39 25 24 7
253 187 260 316
130 108 98 104
5286 4879 4425 5318
7268 5792 5280 5267
300 274 204 219
8407 7339 6051 6948
112 73 79 87
1447 1138 1091 1159
64 78 76 32
8394 6620 5706 5103
41 36 23 31
227 217 197 220
386 232 188 206
145 90 95 101
39 17 18 24
22 17 16 11
101 82 99 52
172 123 117 97
1201 986 974 950
62 37 29 47
1464 1225 1169 1404
7904 6018 5025 5735
4861 4181 3480 3488
6162 4897 4398 3720
401 288 365 314
26 19 26 19
371 363 326 434
47 45 31 31
452 435 384 393
36 24 28 27
38 37 31 38
237 159 170 151
4885 4020 3935 3570
36 32 34 6
5526 4052 3641 3240
3909 3187 2653 3034
