"jc2656" "jc2657" "jc2658" "jc2659"
34 20 9 9
1022 1475 3098 1895
487 861 2145 1750
673 1009 2248 1695
119 132 279 164
222 372 1081 449
34 39 110 83
602 715 1443 656
329 401 762 482
618 1041 2087 1531
195 246 684 251
191 319 694 516
304 337 955 374
152 161 481 214
121 172 361 166
277 400 1009 407
62 49 174 113
210 317 754 428
432 371 828 353
19 15 51 21
39 55 153 114
218 223 716 229
37 47 113 102
600 763 1774 914
369 570 1361 1141
244 300 777 573
882 1150 2389 1055
20 15 55 15
137 144 345 237
79 127 427 371
177 305 704 599
364 669 1566 1408
375 502 1298 985
310 299 776 379
605 809 1838 1188
126 141 434 209
28 33 76 64
459 649 1433 861
210 358 756 558
128 205 467 473
1078 1560 3439 2621
38 36 21 10
634 879 1858 1454
721 823 1901 1005
430 679 1661 1333
823 1247 2664 1929
49 52 180 64
510 593 1598 636
22 21 81 38
307 442 1080 587
652 908 2077 1489
1043 1591 3651 2112
791 1249 2557 1749
8 12 31 31
715 1113 2352 1802
563 722 1721 992
517 641 1497 848
430 590 1654 1253
293 466 1134 921
19 18 50 20
755 1182 2574 2218
209 277 612 493
357 482 1055 731
31 36 120 72
162 258 647 557
375 570 1398 819
9 32 65 34
78 95 214 164
195 238 602 340
228 371 878 747
122 163 441 371
233 280 799 444
463 638 1342 1014
46 55 197 63
308 519 1123 953
35 55 92 52
589 804 1695 1433
643 816 1761 960
574 856 2066 1571
818 986 2090 1233
738 1085 2306 1578
1007 1330 2727 1741
904 1512 3445 2576
368 647 1387 1011
573 906 1984 1862
46 25 13 7
624 851 1755 1038
291 468 1133 1062
358 478 1023 778
226 370 784 630
558 802 1825 1370
221 423 869 640
262 369 875 545
39 37 91 98
173 207 552 216
353 606 1286 1042
222 300 826 643
552 812 1994 1518
153 170 413 261
313 480 1146 845
6 8 25 21
13 7 29 21
49 33 150 48
383 487 1069 741
538 670 1293 848
561 753 1688 1092
552 763 1563 812
326 349 1026 381
442 568 1618 1067
903 1462 2747 2055
735 1119 2251 1161
323 257 766 263
323 488 952 551
19 7 53 21
10 16 78 25
101 85 75 34
1067 1571 3252 2174
48 27 48 17
968 1370 2554 1470
737 954 1917 1484
2781 3803 7392 4642
70 49 32 24
1106 1406 3008 2258
15 21 30 12
1127 1622 3276 2375
56 33 17 13
689 848 1787 1270
1651 2532 5027 4446
150 108 45 51
187 177 115 83
382 401 425 253
5061 6616 12135 8320
55 56 39 17
1691 2000 4236 2888
42 26 30 12
172 167 129 61
3628 5680 10065 6575
1385 1458 2701 1717
1203 1586 3005 2583
1950 2062 4324 2497
127 116 178 188
2122 2903 5173 3810
645 1019 1965 1288
32 27 19 15
133 139 82 74
1990 2571 5669 3262
1594 2198 4198 2712
374 494 992 699
522 624 1384 1038
199 227 598 406
78 85 52 30
1044 1443 3362 2484
1198 1887 4437 3641
75 77 69 44
450 794 1592 1221
41 40 18 11
2146 2991 6176 4099
129 106 77 33
26 16 4 10
1002 1302 3198 2112
27 25 34 13
411 538 1312 577
1524 1988 4543 3494
751 991 2337 1456
228 266 583 309
2336 3368 7146 4502
60 46 148 44
942 1337 2889 1899
103 115 71 42
2892 3886 7613 5301
1743 2405 4596 3415
105 128 289 179
208 269 552 457
2875 3849 7929 4752
72 45 48 16
1569 2541 5523 4434
141 150 102 58
2561 3527 6847 5153
19 22 45 52
797 1059 2514 2076
1003 1437 3656 2433
2420 3722 8363 6511
55 38 123 69
15 26 59 40
1409 2465 6025 5872
42 64 117 119
63 78 211 194
144 86 177 68
2213 3284 7456 4483
101 131 438 171
26 19 60 33
534 583 1557 601
86 84 64 21
1045 1542 3324 2693
63 40 159 38
846 1420 3239 1819
47 77 168 146
140 245 497 407
169 218 522 349
36 40 140 94
15 14 28 26
427 729 1468 1140
9 19 39 17
312 328 448 230
3433 4728 9426 5090
69 43 24 17
1854 2101 5483 2177
217 213 164 92
133 74 79 28
107 100 83 40
1130 1203 2321 1079
143 166 116 85
139 126 75 58
115 129 62 51
471 518 483 389
3103 3778 7034 3816
477 510 350 190
143 185 132 96
3306 4787 8116 5922
385 388 307 127
112 80 154 81
78 58 60 38
631 803 1801 1490
32 50 162 161
306 337 829 384
2861 4120 9692 6421
424 386 818 369
179 189 124 72
64 89 248 141
169 259 632 382
8 17 45 27
976 1359 2899 2132
1082 1511 3841 2762
27 34 67 67
312 352 577 346
40 57 168 151
113 119 239 113
362 563 1382 1250
84 82 169 57
12 8 39 18
35 37 91 55
57 53 209 71
73 50 37 29
60 45 40 42
39 45 168 126
37 42 107 54
70 59 221 69
862 1216 2132 1077
242 413 197 126
494 674 1043 747
262 343 204 119
1539 1858 4042 2360
26 30 24 11
89 73 53 33
1568 2481 3344 2658
321 362 247 178
280 204 131 91
181 164 85 55
2774 3274 4690 2691
636 757 944 647
108 94 56 32
984 1079 1354 972
641 627 503 344
59 49 21 22
214 179 103 119
48 32 15 14
18 27 11 10
518 526 818 391
836 873 1558 1061
112 69 53 41
377 456 930 737
851 793 1077 710
2530 3902 8935 6541
96 84 60 49
133 75 58 43
1121 1438 2944 2163
36 25 22 17
294 442 303 153
837 772 938 474
91 84 51 36
384 318 302 146
1058 1190 2671 1564
130 78 70 46
270 214 197 101
2584 3517 6016 3870
1246 1441 3119 1689
53 35 26 15
74 66 45 22
453 540 855 663
101 88 69 29
499 601 546 321
3625 4543 6803 4380
2040 2671 4071 2478
238 208 133 96
79 52 38 35
62 56 33 17
129 114 64 30
133 117 100 55
237 297 185 119
1844 2266 4069 2790
229 211 147 108
370 481 522 313
1707 2390 4369 3678
53 46 29 21
299 287 230 106
1010 916 1699 1032
655 680 761 423
56 43 39 14
2233 3043 5360 3189
73 90 66 38
1115 1388 2983 2002
158 235 90 60
157 150 114 64
345 374 257 130
1347 2281 4802 3585
1016 1072 769 545
153 141 133 77
67 51 36 13
102 80 74 44
295 297 286 260
382 661 1034 976
58 63 138 43
135 153 340 169
22 23 26 9
1310 1718 3299 1892
2372 2885 4714 3093
2181 2897 5565 3306
325 311 378 284
84 50 39 24
796 1069 2497 1752
987 1442 2849 2295
209 209 514 392
100 70 46 31
71 39 27 25
106 91 43 28
12986 18058 31839 21969
124 102 60 46
1497 1996 3978 3056
68 73 61 21
1859 2704 5555 3423
1006 1377 3014 1396
1022 1421 2495 1670
23 26 27 23
336 455 874 593
60 79 125 127
88 95 54 43
1806 2447 4701 2832
1098 1106 2555 1553
134 109 65 37
844 1205 2547 1795
17 25 54 54
454 504 857 387
96 114 67 63
7632 10612 17359 11278
106 139 87 72
24 32 20 16
101 80 50 22
4190 6160 8456 6488
3863 4791 8713 4990
1338 1647 2943 2226
912 1089 1719 1058
1292 1841 4042 2781
1106 1181 1704 853
8837 12588 22472 14762
78 62 39 36
79 88 45 38
2088 3161 5961 4595
358 504 940 498
69 81 67 45
35 51 24 19
115 81 76 16
73 45 40 22
2451 3443 6380 5067
44 38 17 15
343 363 820 440
941 1208 2061 1166
47 37 25 12
550 507 898 423
82 85 39 33
47 56 18 20
1777 2028 3500 2078
142 140 76 43
1744 2531 3811 3004
117 105 84 55
91 128 87 61
84 93 55 31
977 1359 2087 1254
103 127 66 33
4664 6720 10563 7526
2583 3877 6748 4968
148 173 99 63
52 64 76 63
1418 1654 3592 1740
82 55 43 29
638 800 1373 654
82 74 53 29
48 50 24 23
